#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)","Speed (ns/day)"
330000,329.999999999,-575871.829088,301.557564889,1.00514076057,23.3
331000,330.999999999,-576265.609536,300.587255802,1.00285645913,23.3
332000,331.999999999,-575408.783709,300.818896421,1.00398945601,23.3
333000,332.999999999,-577733.077662,302.545575002,1.00893995781,23.3
334000,333.999999999,-576555.413129,300.169757793,1.00590584613,23.3
335000,334.999999999,-574952.268724,300.368235515,1.00447238235,23.3
336000,335.999999999,-576448.367469,299.660083133,1.00838125958,23.3
337000,336.999999999,-575755.934152,301.382781798,1.0024554409,23.3
338000,337.999999999,-575370.6988,299.584335245,1.00286537674,23.3
339000,338.999999999,-576778.821134,300.419396918,1.00746737752,23.3
340000,339.999999999,-575530.121776,299.318810931,1.00456085831,23.3
341000,340.999999999,-575595.268555,300.52935776,1.00650850131,23.3
342000,341.999999999,-576769.822117,300.413583337,1.00618460597,23.3
343000,342.999999999,-575792.803479,301.559122631,1.00389924183,23.3
344000,343.999999999,-576073.784266,301.313934808,1.0028763483,23.3
345000,344.999999999,-576008.019768,301.874979508,1.00418557662,23.3
346000,345.999999999,-575802.28928,300.372820486,1.0063031255,23.3
347000,346.999999999,-576675.480356,300.357988606,1.00379640812,23.3
348000,347.999999999,-577577.011363,301.517648699,1.00422086331,23.3
349000,348.999999999,-577239.080427,298.600682141,1.00731826347,23.3
350000,349.999999999,-575490.732511,297.541358488,1.00449782585,23.3
351000,350.999999999,-576820.514299,299.28530848,1.0040312746,23.3
352000,351.999999999,-577551.525188,299.432610144,1.00726728466,23.3
353000,352.999999999,-576492.226144,301.01867931,1.00523558277,23.3
354000,353.999999999,-577123.269223,299.06424073,1.00367427244,23.3
355000,354.999999999,-577727.046049,300.274931532,1.0035624618,23.3
356000,355.999999998,-576548.404158,297.191086647,0.997386872203,23.3
357000,356.999999998,-574343.520942,300.557991519,0.999709040765,23.3
358000,357.999999998,-576114.000987,301.726147439,1.00225575111,23.3
359000,358.999999998,-576599.895841,297.942041812,1.00419992755,23.3
360000,359.999999998,-576207.118652,298.874980141,1.00219490441,23.3
361000,360.999999998,-577128.157101,297.723746223,1.00474555632,23.3
362000,361.999999998,-577566.297421,299.298381221,1.00630228196,23.3
363000,362.999999998,-574337.471662,300.258257637,0.999249358907,23.3
364000,363.999999998,-576730.439981,300.369863117,1.00311373701,23.3
365000,364.999999998,-575776.16804,299.751283979,1.00230052272,23.3
366000,365.999999998,-576565.04999,301.580613765,1.0063040574,23.3
367000,366.999999998,-576152.158285,298.842463221,1.00564677422,23.3
368000,367.999999998,-576460.112976,298.849650082,1.00496635223,23.3
369000,368.999999998,-577047.676707,301.094827375,1.00350334633,23.3
370000,369.999999998,-576308.732245,299.60305877,1.00147038348,23.3
371000,370.999999998,-576282.170056,297.5229579,1.00208770315,23.3
372000,371.999999998,-576269.832996,300.806073677,0.999248213799,23.3
373000,372.999999998,-575648.472806,298.994689611,1.00437372917,23.3
374000,373.999999998,-576323.723458,300.639263291,1.00690073913,23.3
375000,374.999999998,-577282.138094,298.866362475,1.00283506105,23.3
376000,375.999999998,-575991.005116,296.899961766,1.00235294302,23.3
377000,376.999999998,-575738.655852,298.382613426,0.998815870686,23.3
378000,377.999999998,-575040.524983,298.78705153,1.00132372885,23.3
379000,378.999999998,-577216.866288,298.283632561,1.00389583618,23.3
380000,379.999999998,-576420.579244,301.301920757,1.00350044049,23.3
381000,380.999999998,-576427.021893,298.702235008,1.00335609349,23.3
382000,381.999999998,-576038.147681,299.544049103,1.00244441213,23.3
383000,382.999999998,-575561.342192,297.842626837,1.00427018986,23.3
384000,383.999999998,-576394.282816,300.481829966,1.00210738668,23.3
385000,384.999999998,-575622.677687,302.029181181,1.00492647447,23.3
386000,385.999999998,-576449.793529,298.887397953,1.00372891708,23.3
387000,386.999999998,-576064.119502,300.248702045,1.00109732758,23.3
388000,387.999999998,-577401.220885,301.936867004,0.999697418734,23.3
389000,388.999999998,-577108.425665,299.19617828,1.00281189503,23.3
390000,389.999999998,-577845.717528,299.068507186,0.999797295667,23.3
391000,390.999999998,-576147.765635,299.75277893,1.00566000851,23.3
392000,391.999999998,-575645.98512,301.507213283,1.00208343232,23.3
393000,392.999999998,-576221.808729,298.801328926,1.00295896222,23.3
394000,393.999999998,-574873.818446,300.309837245,1.00137141072,23.3
395000,394.999999998,-576736.707393,302.317164765,1.00425567945,23.3
396000,395.999999998,-575620.989136,299.339804173,1.00430370619,23.3
397000,396.999999998,-575275.370418,303.640444728,1.00375100995,23.3
398000,397.999999998,-575179.265044,299.321150725,1.00332597181,23.3
399000,398.999999997,-575691.606999,297.862840168,1.00574507569,23.3
400000,399.999999997,-577664.036956,302.213883488,1.00483093708,23.3
401000,400.999999997,-576777.828456,297.826594977,1.00248071747,23.3
402000,401.999999997,-577919.200731,299.479152345,1.00640680409,23.3
403000,402.999999997,-575975.377597,299.177163878,1.00688544285,23.3
404000,403.999999997,-576547.246093,297.069967268,1.00100264314,23.3
405000,404.999999997,-576722.134685,298.166095616,1.00162386225,23.3
406000,405.999999997,-576427.035313,297.533012398,1.00227375475,23.3
407000,406.999999997,-576120.22671,300.603219215,1.00536372783,23.3
408000,407.999999997,-575843.978221,299.837626487,1.00458714509,23.3
409000,408.999999997,-575036.265328,298.485779922,1.00123151049,23.3
410000,409.999999997,-576786.108498,301.234436945,1.00467356084,23.3
411000,410.999999997,-576258.012699,300.363815689,1.00225738131,23.3
412000,411.999999997,-576394.223502,300.866391058,1.00293491519,23.3
413000,412.999999997,-576659.770443,297.691496188,1.0101973348,23.3
414000,413.999999997,-577861.622818,301.891075182,1.00462009312,23.3
415000,414.999999997,-575773.420706,300.56612759,1.00412506802,23.3
416000,415.999999997,-577052.924643,299.118489752,1.00364452585,23.3
417000,416.999999997,-577175.684653,300.990663616,1.00461794686,23.3
418000,417.999999997,-576584.356146,300.643925372,1.00416612668,23.3
419000,418.999999997,-575911.756865,299.890101266,1.00408483058,23.3
420000,419.999999997,-577786.970232,300.617583477,1.00503794342,23.3
421000,420.999999997,-576004.954949,297.367867446,1.0016341646,23.3
422000,421.999999997,-577200.917628,299.123630507,1.00536281659,23.3
423000,422.999999997,-576363.017286,299.922204151,1.00415402432,23.3
424000,423.999999997,-576283.293654,299.377218591,1.00418182968,23.3
425000,424.999999997,-577060.23357,299.914738007,1.00595679394,23.3
426000,425.999999997,-577814.798274,301.5461942,1.00520313266,23.3
427000,426.999999997,-574973.950127,298.748286796,1.00414454693,23.3
428000,427.999999997,-576215.112194,299.868599501,1.00270119997,23.3
429000,428.999999997,-576176.07201,301.120933689,1.0023120186,23.3
430000,429.999999997,-575705.427628,299.317167324,1.00279354921,23.3
431000,430.999999997,-575618.844603,299.729377709,1.00392895008,23.2
432000,431.999999997,-576160.614317,302.355284183,1.00343317992,23.2
433000,432.999999997,-575387.047994,300.98301987,1.00470123571,23.2
434000,433.999999997,-576874.181884,299.190174857,1.00671152059,23.2
435000,434.999999997,-575337.736022,298.438707347,1.00589188022,23.2
436000,435.999999997,-576430.281586,301.905642098,1.00703545781,23.2
437000,436.999999997,-576975.309258,299.328881092,1.00726341008,23.2
438000,437.999999997,-577808.897486,302.689237703,1.0065628106,23.2
439000,438.999999997,-577201.042554,302.132082964,1.00755279064,23.2
